query,rank,video_id,title,score
What is machine learning?,1,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.5390881299972534
What is machine learning?,2,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.40509843826293945
What is machine learning?,3,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.4030383229255676
What is machine learning?,4,ABbDB6xri8o,Tesla AI Day Highlights | Lex Fridman,0.3896382451057434
What is machine learning?,5,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.38275033235549927
How does supervised learning work?,1,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.37892720103263855
How does supervised learning work?,2,6CTJMx64Vbw,Elon Musk: Understanding the Human Brain at Neuralink,0.34929585456848145
How does supervised learning work?,3,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.3414723873138428
How does supervised learning work?,4,3wMKoSRbGVs,Douglas Lenat: Cyc and the Quest to Solve Common Sense Reasoning in AI | Lex Fridman Podcast 221,0.3337486684322357
How does supervised learning work?,5,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.3234899044036865
What is unsupervised learning?,1,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.4060409665107727
What is unsupervised learning?,2,tNZnLkRBYA8,"ThePrimeagen: Programming, AI, ADHD, Productivity, Addiction, and God | Lex Fridman Podcast 461",0.29887154698371887
What is unsupervised learning?,3,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.2953466773033142
What is unsupervised learning?,4,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.29220423102378845
What is unsupervised learning?,5,k8Zomsf3uBI,You Are Your Own Existence Proof (Karl Friston) | AI Podcast Clips with Lex Fridman,0.2864232361316681
What is reinforcement learning?,1,e77NkSjnyH4,"AlphaZero and Self Play (David Silver, DeepMind) | AI Podcast Clips",0.3731764256954193
What is reinforcement learning?,2,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.36630457639694214
What is reinforcement learning?,3,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.36321696639060974
What is reinforcement learning?,4,EV7WhVT270Q,"State of AI in 2026: LLMs, Coding, Scaling Laws, China, Agents, GPUs, AGI | Lex Fridman Podcast 490",0.3591908812522888
What is reinforcement learning?,5,kxi-_TT_-Nc,Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast 108,0.3574218153953552
What is overfitting in machine learning?,1,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.3939121961593628
What is overfitting in machine learning?,2,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.34287017583847046
What is overfitting in machine learning?,3,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.31606873869895935
What is overfitting in machine learning?,4,1soLVufJWLU,Elon Musk: Perception vs Control - What&39;s Harder?,0.2808026075363159
What is overfitting in machine learning?,5,ABbDB6xri8o,Tesla AI Day Highlights | Lex Fridman,0.27503442764282227
How does gradient descent work?,1,DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast 76,0.3139924108982086
How does gradient descent work?,2,cdiD-9MMpb0,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast 333",0.279620885848999
How does gradient descent work?,3,1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,0.2791251838207245
How does gradient descent work?,4,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.26011931896209717
How does gradient descent work?,5,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.2523585855960846
What is model generalization?,1,k8Zomsf3uBI,You Are Your Own Existence Proof (Karl Friston) | AI Podcast Clips with Lex Fridman,0.33780303597450256
What is model generalization?,2,vaFhEgLoUe0,Michael Kearns: Differential Privacy,0.26944589614868164
What is model generalization?,3,xoVibFYi1Gs,Language or Vision - What&39;s Harder? (Ilya Sutskever) | AI Podcast Clips,0.26592668890953064
What is model generalization?,4,YPe5OP7Clv4,Gilbert Strang: Singular Value Decomposition,0.24870166182518005
What is model generalization?,5,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.23799297213554382
What is feature engineering?,1,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.34737536311149597
What is feature engineering?,2,tNZnLkRBYA8,"ThePrimeagen: Programming, AI, ADHD, Productivity, Addiction, and God | Lex Fridman Podcast 461",0.2793112099170685
What is feature engineering?,3,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.27115580439567566
What is feature engineering?,4,X0-SXS6zdEQ,"Peter Wang: Python and the Source Code of Humans, Computers, and Reality | Lex Fridman Podcast 250",0.26036226749420166
What is feature engineering?,5,4AWLcxTGZPA,Kanye &39;Ye&39; West Interview | Lex Fridman Podcast 332,0.25207608938217163
What is cross validation?,1,fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",0.1633509397506714
What is cross validation?,2,tNZnLkRBYA8,"ThePrimeagen: Programming, AI, ADHD, Productivity, Addiction, and God | Lex Fridman Podcast 461",0.1380738914012909
What is cross validation?,3,-HzgcbRXUK8,"Demis Hassabis: Future of AI, Simulating Reality, Physics and Video Games | Lex Fridman Podcast 475",0.13774879276752472
What is cross validation?,4,vaFhEgLoUe0,Michael Kearns: Differential Privacy,0.13710466027259827
What is cross validation?,5,wMavKrA-4do,Manolis Kellis: Evolution of Human Civilization and Superintelligent AI | Lex Fridman Podcast 373,0.12851282954216003
What is the bias variance tradeoff?,1,qtOKrG_wK5A,"Shannon Curry: Johnny Depp &amp; Amber Heard Trial, Marriage, Dating &amp; Love | Lex Fridman Podcast 366",0.1610461175441742
What is the bias variance tradeoff?,2,fUEjCXpOjPY,"James Sexton: Divorce Lawyer on Marriage, Relationships, Sex, Lies &amp; Love | Lex Fridman Podcast 396",0.15731152892112732
What is the bias variance tradeoff?,3,tApj7Q37P2k,Ben Askren: Wrestling and MMA | Lex Fridman Podcast 242,0.14473430812358856
